6980,Thief: Deadly Shadows,3/29/2007,Single-player,Action,Stealth;Atmospheric;Action,1135,210
7000,Tomb Raider: Legend,3/29/2007,Single-player;Partial Controller Support,Action;Adventure,Adventure;Action;Female Protagonist,1656,243
7010,Project: Snowblind,3/29/2007,Single-player;Multi-player,Action,Action;FPS;Cyberpunk,175,61
7020,Rogue Trooper,3/29/2007,Single-player;Multi-player;Co-op,Action,Action;Third-Person Shooter;Sci-fi,248,15
7110,Jade Empire™: Special Edition,2/27/2007,Single-player;Partial Controller Support,RPG,RPG;Fantasy;Story Rich,809,279
7200,Trackmania United Forever Star Edition,4/16/2008,Single-player;Multi-player;Includes level editor,Racing,Racing;Multiplayer;Level Editor,963,55
7210,"Runaway, A Road Adventure",3/14/2007,Single-player,Adventure,Adventure;Point & Click;Mystery,236,90
7220,"Runaway, The Dream of The Turtle",3/14/2007,Single-player,Adventure,Adventure;Point & Click;Mystery,86,65
7260,Loki,10/5/2007,Single-player;Multi-player,RPG,RPG;Hack and Slash;Action,69,54
7340,Azada,4/21/2010,Single-player,Casual;Indie,Casual;Indie;Puzzle,8,4
7510,X-Blades,4/30/2009,Single-player;Steam Trading Cards;Partial Controller Support,Nudity;Violent;Action;Adventure;RPG,Action;Hack and Slash;Female Protagonist,1566,981
7520,Two Worlds II HD,2/3/2011,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Nudity;Violent;RPG,RPG;Open World;Fantasy,3054,2051
7530,Two Worlds II Castle Defense,6/14/2011,Single-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Tower Defense;Fantasy,153,194
7600,Sid Meier's Railroads!,5/4/2007,Single-player;Multi-player,Strategy,Strategy;Trains;Management,1114,570
7610,Railroad Tycoon 3,5/4/2007,Single-player;Multi-player,Strategy,Strategy;Management;Trains,355,153
7620,Railroad Tycoon II Platinum,5/4/2007,Single-player,Strategy,Strategy;Management;Trains,420,82
7650,X-COM: Terror From the Deep,5/4/2007,Single-player,Strategy,Strategy;Turn-Based;Sci-fi,385,32
7660,X-COM: Apocalypse,9/4/2008,Single-player,Strategy,Strategy;Turn-Based;Tactical,417,53
7730,X-COM: Interceptor,9/4/2008,Single-player;Multi-player,Strategy,Strategy;Sci-fi;Space,57,54
7760,X-COM: UFO Defense,9/4/2008,Single-player,Strategy,Strategy;Classic;Turn-Based Strategy,2165,136
7770,X-COM: Enforcer,9/4/2008,Single-player;Multi-player,Strategy,Strategy;Action;Shooter,146,138
7830,Men of War™,5/6/2009,Single-player;Multi-player;Steam Cloud;Includes level editor,Strategy,Strategy;World War II;RTS,1664,257
7840,Death Track®: Resurrection,5/6/2009,Single-player;Steam Cloud,Racing,Racing;Action;Shooter,34,50
7860,NecroVision,5/20/2009,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;World War I,539,270
7940,Call of Duty® 4: Modern Warfare®,11/12/2007,Single-player;Multi-player,Action,FPS;Action;Multiplayer,8725,821
8000,Tomb Raider: Anniversary,6/5/2007,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Female Protagonist,1964,389
8080,Kane and Lynch: Dead Men™,12/13/2007,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Action,Action;Third-Person Shooter;Crime,1223,724
8100,Conflict: Denied Ops,2/8/2008,Single-player,Action,Action;FPS;Singleplayer,89,103
8140,Tomb Raider: Underworld,11/21/2008,Single-player,Action;Adventure,Adventure;Action;Female Protagonist,1779,594
8170,Battlestations Pacific,5/13/2009,Single-player;Multi-player;Partial Controller Support,Action;Strategy,World War II;Strategy;Action,1028,542
8190,Just Cause 2,3/23/2010,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Open World;Action;Sandbox,33636,3231
8310,Bone: Out From Boneville,6/17/2008,Single-player,Adventure,Adventure;Point & Click,78,71
8320,Bone: The Great Cow Race,6/17/2008,Single-player,Adventure,Adventure;Point & Click,44,33
8330,Telltale Texas Hold ‘Em,6/17/2008,Single-player,Casual,Casual;Card Game,69,77
8340,Strong Bad's Cool Game for Attractive People: Season 1,12/18/2008,Single-player,Adventure,Adventure;Point & Click;Comedy,218,25
8400,Geometry Wars: Retro Evolved,6/18/2007,Single-player;Full controller support,Casual,Arcade;Twin Stick Shooter;Casual,583,62
